ID,category,product_title,product_ribbon,product_prev_price,product_curr_price,product_app_price,product_weight,weight_gm,weight_ml
0,lingerie,Valene Moon n Back Wireless T-Shirt Bra Combo,COMBO,1750.0,1399.0,,,,
1,lingerie,Valene Classic Panty Trio Box,nan,,500.0,,6 Variations,,
2,lingerie,Valene Classic Panty Trio Box 2,nan,,500.0,,5 Variations,,
3,lingerie,Valene Love Birds Wired Lacy Bra Set-Rose Pink (BRA & Panty),nan,,1350.0,,23 Variations,,
4,lingerie,Valene Comfy Wireless T-Shirt Bra-Beige,nan,,595.0,,25 Variations,,
5,lingerie,Valene Comfy Wireless T-Shirt Bra-Black,nan,,595.0,,25 Variations,,
6,lingerie,Valene Comfy Wireless T-Shirt Bra-Peach,nan,,595.0,,25 Variations,,
7,lingerie,Valene Beauty Without Border Bra - Creamy Beige,nan,,1295.0,,3 Variations,,
8,lingerie,Valene Beauty Without Border Bra - Black,nan,,1295.0,,4 Variations,,
9,lingerie,Valene Blissful Seamless Premium Bra - Black,nan,,1195.0,,5 Variations,,
10,lingerie,Valene Blissful Seamless Premium Bra - Light pink,nan,,1195.0,,5 Variations,,
11,lingerie,Valene Lacy Confidence Bra - Pastel Green,nan,,1150.0,,4 Variations,,
12,lingerie,Valene Lacy Confidence Bra - Pastel Blue,nan,,1150.0,,4 Variations,,
13,lingerie,Valene Lacy Confidence Bra - Daisy White,nan,,1150.0,,4 Variations,,
14,lingerie,Armela Gentle Cloud Seamless Full Coverage Bra-Beige,nan,,1100.0,,4 Variations,,
15,lingerie,Armela Gentle Cloud Seamless Full Coverage Bra-Lava Gray,nan,,1100.0,,4 Variations,,
16,lingerie,Armela Gentle Cloud Seamless Full Coverage Bra-Olive Green,nan,,1100.0,,4 Variations,,
17,lingerie,Valene Bear Hug Seamless Bra-Fern Green,nan,,1150.0,,5 Variations,,
18,lingerie,Valene Bear Hug Seamless Bra-Pastel Blue,nan,,1150.0,,6 Variations,,
19,lingerie,Armela Classic Uplift Push Up Bra-Soft Lilac,nan,,745.0,,10 Variations,,
20,lingerie,Armela Classic Uplift Push Up Bra-Black,nan,,745.0,,17 Variations,,
21,lingerie,Armela Artisan Lace Push Up Bra-Midnight Blue,nan,,745.0,,18 Variations,,
22,lingerie,Armela Artisan Lace Push Up Bra-Princess Pink,nan,,745.0,,19 Variations,,
23,lingerie,Armela Artisan Lace Push Up Bra-Olive Green,nan,,745.0,,16 Variations,,
24,lingerie,Valene Rising Butterfly Full Coverage Wired Bra-Flamingo Pink,nan,,950.0,,17 Variations,,
25,lingerie,Valene Rising Butterfly Full Coverage Wired Bra-French Blue,nan,,950.0,,17 Variations,,
26,lingerie,Valene Rising Butterfly Full Coverage Wired Bra-Vintage Nude,nan,,950.0,,18 Variations,,
27,lingerie,Armela Cozy Classy Bra - Beige,nan,,695.0,,5 Variations,,
28,lingerie,Armela Cozy Classy Bra - Peach,nan,,695.0,,5 Variations,,
29,lingerie,Armela Cozy Classy Bra - Gray,nan,,695.0,,5 Variations,,
30,lingerie,Valene Front Closure full Coverage Smart Women's Bra- Bean Paste,nan,,550.0,,6 Variations,,
31,lingerie,Valene Front Closure full Coverage Smart Women's Bra- Vanilla Beige,nan,,550.0,,6 Variations,,
32,lingerie,Valene Front Closure full Coverage Smart Women's Bra- Cloudy Gray,nan,,550.0,,7 Variations,,
33,lingerie,Valene HighTide Bra-Black,nan,,895.0,,4 Variations,,
34,lingerie,Valene HighTide Bra-Beige,nan,,895.0,,4 Variations,,
35,lingerie,Valene HighTide Bra-Baby Pink,nan,,895.0,,4 Variations,,
36,lingerie,Valene HighTide Bra-Pastel Blue,nan,,895.0,,4 Variations,,
37,lingerie,Shoi Double Layered Comfortable Chikan Cotton Bra Cream,nan,,350.0,,7 Variations,,
38,lingerie,Shoi Double Layered Comfortable Chikan Cotton Bra Pink,nan,,350.0,,7 Variations,,
39,lingerie,Shoi Double Layered Comfortable Chikan Cotton Bra - Vanilla,nan,,350.0,,7 Variations,,
40,lingerie,Shoi Double Layered Comfortable Chikan Cotton Bra - Fiery Rose,nan,,350.0,,7 Variations,,
41,lingerie,Shoi Double Layered Comfortable Chikan Cotton Bra Black,nan,,350.0,,7 Variations,,
