,category,product_title,product_ribbon,product_prev_price,product_curr_price,product_app_price,product_weight
251,face,Dr. C. Tuna Light To Medium Tea Tree BB Cream,,nan,"৳ 1,300.00",,50ml
252,face,Pierre Cardin Two Phase Make Up Remover,,nan,"৳ 1,450.00",App Price: ৳ 1407.00,150ml
253,face,Pierre Cardin Porcelain Edition Compact Powder Golden Beige 955,,nan,"৳ 1,380.00",App Price: ৳ 1339.00,12gm
254,face,Nirvana Soft Touch Round Cotton Pad,,nan,৳ 300.00,App Price: ৳ 291.00,
255,face,Makeup Revolution Superdewy Liquid Blusher You Had Me At First Blush,,nan,"৳ 1,350.00",App Price: ৳ 1310.00,15ml
256,face,Ireneda Crush Crush Powder Blush - OR03 Black Tea (IR07),,nan,৳ 300.00,App Price: ৳ 291.00,2.7gm
257,face,Ireneda Crush Crush Powder Blush - PK01 Delicate Petal (IR07),,nan,৳ 300.00,App Price: ৳ 291.00,2.7gm
258,face,Ireneda Trust Me Concealer - NE01 Light (IR-F01),,nan,৳ 350.00,App Price: ৳ 340.00,2.5gm
259,face,Ireneda Trust Me Concealer - CL02 Peach (IR-F01),,nan,৳ 350.00,App Price: ৳ 340.00,2.5gm
260,face,Ireneda Trust Me Concealer - YL03 Natural (IR-F01),,nan,৳ 350.00,App Price: ৳ 340.00,2.5gm
261,face,Ireneda Soft Matte Foundation - YL02 Sand Beige (IR-F02),,nan,৳ 600.00,App Price: ৳ 582.00,0.38gm
262,face,Ireneda Soft Matte Foundation - NE03 Natural Beige (IR-F02),,nan,৳ 600.00,App Price: ৳ 582.00,0.38gm
263,face,PINKFLASH Duo Makeup Stick - HS02 (PF-F21),,nan,৳ 400.00,App Price: ৳ 388.00,
264,face,PINKFLASH All Over Face Contour - S02 Drop (PF-F02),,nan,৳ 250.00,App Price: ৳ 243.00,36gm
265,face,PINKFLASH Chic In Cheek Blush - O03 Sunset (PF-F01),,nan,৳ 250.00,App Price: ৳ 243.00,1.5gm
266,face,PINKFLASH Duo Makeup Stick - BH03 (PF-F21),,nan,৳ 400.00,App Price: ৳ 388.00,
267,face,Nicka K Duo Blush NDO12,,nan,৳ 400.00,App Price: ৳ 380.00,2gm
268,face,Nicka K Hd Concealer Copper NCL008,,nan,৳ 450.00,App Price: ৳ 437.00,3.3gm
269,face,Deve Clean & Clear Cleasing Milk,,nan,"৳ 1,150.00",App Price: ৳ 1116.00,300ml
270,face,Makeup Revolution Conceal & Define Supersize Concealer C6,,nan,৳ 880.00,App Price: ৳ 854.00,13gm
271,face,Guerniss Mineral Finishpact Highlighter G340,,nan,"৳ 1,760.00",App Price: ৳ 1707.00,13gm
