,category,product_title,product_ribbon,product_prev_price,product_curr_price,product_app_price,product_weight
0,appliances,Vanicream Moisturizing Lotion,SOLD OUT,nan,"৳ 3,220.00",App Price: ৳ 3123.00,453gm
1,appliances,REVLON PERFECT HEAT™ FAST AND LIGHT HAIR DRYER,SOLD OUT,nan,"৳ 3,350.00",,
2,appliances,Vigor Professional Hairstyling Iron V129A,SOLD OUT,nan,"৳ 1,550.00",App Price: ৳ 1504.00,
3,appliances,V&G Professional Hair Straightener v4,SOLD OUT,nan,"৳ 1,700.00",App Price: ৳ 1649.00,
4,appliances,TONI & GUY Style Fix Straightener,SOLD OUT,nan,"৳ 3,250.00",App Price: ৳ 3153.00,
5,appliances,Sokany 608A Nano Silver Professional Hair Straightener Brush,SOLD OUT,nan,"৳ 1,650.00",App Price: ৳ 1601.00,
