,Category,Count
0,Skin,5262
1,Personal care,5057
2,Makeup,4570
3,Face,1496
4,Lips,1257
5,Eyes,995
6,Nails,628
7,Tools & Brushes,239
8,Top Brands,239
9,Makeup Kits,14
10,Natural,4042
11,Hair,2366
12,Mid Summer Clearance Sale 2023,1855
13,Men,1456
14,Fragrance,680
15,Offers,624
16,Mom & Baby,496
17,Buy 1 Get 1,436
18,Beauty Bonanza Clearance Sale,334
19,Combo,174
20,Undergarments,164
21,Clothing & More,27
22,Appliances,6
23,Uncategorized,2
